Time (s),Temperature,Humidity,Pressure,Altitude
0,29.7,82.0,37.29,99205.0
1,29.8,82.0,37.61,99196.0
2,29.8,82.0,37.61,99200.0
3,29.8,82.0,37.61,99206.0
4,29.8,82.0,37.61,99197.0
5,29.9,82.0,37.92,99201.0
6,29.9,82.0,37.92,99199.0
7,29.9,82.0,37.92,99203.0
8,29.9,82.0,37.92,99199.0
9,29.9,82.0,37.92,99200.0
10,29.9,82.0,37.92,99204.0
11,29.9,82.0,37.92,99202.0
12,29.9,82.0,37.92,99198.0
13,29.9,82.0,37.92,99202.0
14,29.9,82.0,37.92,99199.0
15,29.9,82.0,37.92,99202.0
16,29.9,82.0,37.92,99200.0
17,29.9,82.0,37.92,99197.0
18,29.9,82.0,37.92,99195.0
19,29.9,82.0,37.92,99197.0
20,29.9,82.0,37.92,99196.0
21,29.9,82.0,37.92,99204.0
22,29.1,86.0,99234.0,175.56
23,29.1,86.0,99230.0,175.9
24,29.1,86.0,99229.0,175.99
25,29.1,86.0,99229.0,175.99
26,29.1,86.0,99233.0,175.65
27,29.1,86.0,99235.0,175.48
28,29.1,86.0,99227.0,176.16
29,29.1,86.0,99234.0,175.56
30,29.1,83.0,99231.0,175.82
31,29.1,83.0,99229.0,175.99
32,29.1,83.0,99228.0,176.07
33,29.1,83.0,99230.0,175.9
34,29.1,83.0,99234.0,175.56
35,29.1,83.0,99233.0,175.65
36,29.1,83.0,99231.0,175.82
37,29.1,83.0,99230.0,175.9
38,29.1,83.0,99225.0,176.33
39,29.1,83.0,99227.0,176.16
40,29.1,83.0,99233.0,175.65
41,29.1,83.0,99231.0,175.82
42,29.1,83.0,99234.0,175.56
43,29.1,83.0,99228.0,176.07
44,29.0,83.0,99230.0,175.9
45,29.1,83.0,99238.0,175.23
46,29.0,83.0,99232.0,175.73
47,29.0,83.0,99236.0,175.39
48,29.0,83.0,99231.0,175.82
49,29.0,83.0,99230.0,175.9
50,29.0,83.0,99234.0,175.56
51,29.0,83.0,99230.0,175.9
52,29.0,83.0,99230.0,175.9
53,29.0,83.0,99228.0,176.07
54,29.0,83.0,99234.0,175.56
55,29.0,83.0,99232.0,175.73
56,29.0,83.0,99233.0,175.65
57,29.0,83.0,99228.0,176.07
58,29.0,83.0,99230.0,175.9
59,29.0,83.0,99232.0,175.73
60,29.0,83.0,99239.0,175.14
61,29.0,83.0,99228.0,176.07
62,29.0,83.0,99235.0,175.48
63,29.0,83.0,99233.0,175.65
64,29.0,83.0,99230.0,175.9
65,29.0,83.0,99230.0,175.9
66,29.0,83.0,99237.0,175.31
67,29.0,83.0,99235.0,175.48
68,29.0,83.0,99232.0,175.73
69,29.0,83.0,99233.0,175.65
70,29.0,83.0,99229.0,175.99
71,29.0,83.0,99234.0,175.56
72,29.0,83.0,99227.0,176.16
73,29.0,83.0,99228.0,176.07
74,29.0,83.0,99229.0,175.99
75,29.0,83.0,99230.0,175.9
76,29.0,83.0,99231.0,175.82
77,29.0,83.0,99225.0,176.33
78,29.0,83.0,99225.0,176.33
79,29.0,83.0,99228.0,176.07
80,29.0,83.0,99232.0,175.73
81,29.0,83.0,99230.0,175.9
82,29.0,83.0,99232.0,175.73
83,29.0,83.0,99232.0,175.73
84,29.0,83.0,99228.0,176.07
85,29.0,83.0,99235.0,175.48
86,29.0,83.0,99234.0,175.56
87,29.0,83.0,99229.0,175.99
88,29.0,83.0,99232.0,175.73
89,29.0,83.0,99230.0,175.9
90,28.9,83.0,99228.0,176.07
91,28.9,83.0,99231.0,175.82
92,28.9,83.0,99237.0,175.31
93,28.9,83.0,99234.0,175.56
94,28.9,83.0,99236.0,175.39
95,28.9,83.0,99230.0,175.9
96,28.9,83.0,99230.0,175.9
97,28.9,83.0,99229.0,175.99
98,28.9,83.0,99226.0,176.24
99,28.9,83.0,99231.0,175.82
100,28.9,83.0,99232.0,175.73
101,28.9,83.0,99232.0,175.73
102,28.9,83.0,99232.0,175.73
103,28.9,83.0,99231.0,175.82
104,28.9,83.0,99230.0,175.9
105,28.9,83.0,99229.0,175.99
106,28.9,83.0,99231.0,175.82
107,28.9,83.0,99227.0,176.16
108,28.9,83.0,99230.0,175.9
109,28.9,83.0,99231.0,175.82
110,28.9,83.0,99231.0,175.82
111,28.9,83.0,99233.0,175.65
112,28.9,83.0,99230.0,175.9
113,28.9,83.0,99230.0,175.9
114,28.9,83.0,99231.0,175.82
115,28.9,83.0,99229.0,175.99
116,28.9,83.0,99233.0,175.65
117,28.9,83.0,99230.0,175.9
118,28.8,83.0,99233.0,175.65
119,28.8,83.0,99234.0,175.56
120,28.8,83.0,99237.0,175.31
121,28.8,83.0,99239.0,175.14
122,28.8,83.0,99239.0,175.14
123,28.8,83.0,99233.0,175.65
124,28.8,83.0,99236.0,175.39
125,28.8,83.0,99234.0,175.56
126,28.8,83.0,99232.0,175.73
127,28.8,83.0,99231.0,175.82
128,28.8,83.0,99237.0,175.31
129,28.8,83.0,99238.0,175.23
130,28.8,83.0,99232.0,175.73
131,28.8,83.0,99235.0,175.48
132,28.8,83.0,99235.0,175.48
133,28.7,83.0,99234.0,175.56
134,28.7,83.0,99237.0,175.31
135,28.7,83.0,99234.0,175.56
136,28.7,83.0,99232.0,175.73
137,28.7,83.0,99232.0,175.73
138,28.7,83.0,99230.0,175.9
139,28.7,83.0,99237.0,175.31
140,28.7,83.0,99238.0,175.23
141,28.7,83.0,99234.0,175.56
142,28.6,83.0,99237.0,175.31
143,28.6,83.0,99232.0,175.73
144,28.6,83.0,99233.0,175.65
145,28.6,83.0,99233.0,175.65
146,28.6,83.0,99231.0,175.82
147,28.6,83.0,99239.0,175.14
148,28.6,83.0,99238.0,175.23
149,28.6,83.0,99233.0,175.65
150,28.6,83.0,99233.0,175.65
151,28.6,83.0,99231.0,175.82
152,28.6,83.0,99235.0,175.48
153,28.6,83.0,99236.0,175.39
154,28.6,83.0,99233.0,175.65
155,28.6,83.0,99232.0,175.73
156,28.6,83.0,99236.0,175.39
157,28.6,83.0,99238.0,175.23
158,28.6,83.0,99236.0,175.39
159,28.6,83.0,99232.0,175.73
160,28.6,83.0,99237.0,175.31
